country,Electiondate,ev_count,EventViolence,ActorNameNew,Actor1Name,Actor1Type,TargetNameNew,Target1Name,Target1Type
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Political Party,Armed Islamic Movement,3
Afghanistan,2004-09-10T00:00:00Z,6,1,Iraqi Insurgents,Insurgents,4,Military,military,1
Albania,1997-06-29T00:00:00Z,1,1,Government ,Government,1,Civilians,Civilians,2
Iraq,2005-01-30T00:00:00Z,1,1,Al-Qaeda,Al-Qaeda-linked Army of Ansar al-Sunna,4,Civilians,truck drivers,2
Yemen,2006-09-20T00:00:00Z,0,0,Civilians,al-Hasheed tribe members,2,Government Leader,president Saleh,1
Afghanistan,2005-09-18T00:00:00Z,6,1,Iraqi Insurgents,Insurgents,4,Military,military,1
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,Armed men,2
Afghanistan,2009-08-20T00:00:00Z,6,1,Iraqi Insurgents,Insurgents,4,Military,military,1
Georgia,2003-11-02T00:00:00Z,2,1,Party Supporters,National Movement bloc supporters,2,Party Leaders,Ajarian leader Aslan Abashidze,4
Afghanistan,2010-09-18T00:00:00Z,6,1,Iraqi Insurgents,Insurgents,4,Military,military,1
Afghanistan,2009-08-20T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Civilians,Peacekeepers,5
Turkey,2007-07-22T00:00:00Z,1,1,Party Supporters,MHP Supporters,2,Party Supporters,AK Party Supporters,2
Afghanistan,2005-09-18T00:00:00Z,21,1,Iraqi Insurgents,Insurgents,4,Police,Police,1
Serbia,2000-09-24T00:00:00Z,0,0,Opposition Party,Alliance for Change,3,Government,government,1
Egypt,2010-11-28T00:00:00Z,0,0,Civilians,al-Zaqazig University,5,Students,Students,2
Algeria,1995-11-16T00:00:00Z,0,0,Police,Police,1,Armed Group,Members of armed groups,4
Bangladesh,2001-10-01T00:00:00Z,1,1,Party Supporters,BNP supporters,2,Party Supporters,AL supporters,2
Iraq,2005-01-30T00:00:00Z,1,1,United States,US troops,5,Al-Qaeda,Abu Musab al-Zarqawi's group,4
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,Clerics and 'troublemakers,2
Yemen,1997-04-27T00:00:00Z,1,1,Political Candidate,GPC candidates,3,Political Candidate,al-Islah candidates,3
Yemen,2003-04-27T00:00:00Z,1,1,Party Supporters,GPC supporters,2,Party Members,al-Islah member,3
Yemen,1997-04-27T00:00:00Z,1,1,Political Candidate,GPC candidate supporters,2,Party Members,al-Islah members,3
Yemen,1997-04-27T00:00:00Z,1,1,Party Supporters,GPC supporters,2,Party Supporters,al-Islah supporters,2
Albania,1996-05-26T00:00:00Z,0,0,Government ,Government,1,Media,Newspaper Distributors,2
Albania,1996-05-26T00:00:00Z,0,0,Government ,Government,1,Election Commission,Opposition member of the electoral commission,3
Algeria,1991-12-26T00:00:00Z,0,0,Government ,Courts,1,Political Party,FIS,3
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Party Leaders,FIS leader,3
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,FIS leader,2
Iraq,2005-12-15T00:00:00Z,1,0,Party Supporters,Sistani supporters,2,Media,al-Jazeera,5
Iraq,2005-12-15T00:00:00Z,1,1,Party Supporters,Sistani supporters,2,Media,al-Jazeera,5
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,Foreigners,2
Albania,1991-03-31T00:00:00Z,1,1,Civilians,Albanian Refugees,2,Police,Police,1
Algeria,2007-05-17T00:00:00Z,0,0,Police,Police,1,Former Government,Former FIS leader,2
Iraq,2005-01-30T00:00:00Z,2,1,United States,US Troops,5,Al-Qaeda,Abu Mussab al-Zarqawi,4
