country,year,elect_vio,ActorNameNew,ActorTypeNew,civ_deaths,l_gdppc,l_pop,indep_jud,opposition_ban,reports_fraud,elect_monitors,govt_intimidation,elect_boycott,cso_idx,elect_idx,corrupt_jud,peaceful_assemb,polity,phys_int,civ_violence,lag_ev,lag_civ_deaths,lag_civ_violence
Nigeria,2007,1,Civilians,2,5,7.537117135563673,18.81470753657378,6,0,1,1,-1.269,-0.31,0.842,0.177,-1.603,0.513,4,2,122,0,2505,49
Nigeria,2007,1,Civilians,2,5,7.537117135563673,18.81470753657378,6,0,1,1,-1.269,-0.31,0.842,0.177,-1.603,0.513,4,2,122,1,5,122
Philippines,1992,1,Civilians,2,15,NA,NA,NA,0,1,0,-0.2,1.402,0.851,0.503,-0.922,2.078,8,2,NA,1,38,NA
Philippines,1992,1,Civilians,2,15,NA,NA,NA,0,1,0,-0.2,1.402,0.851,0.503,-0.922,2.078,8,2,NA,1,15,NA
Zimbabwe,2000,1,Civilians,2,NA,6.3373289491192,16.286544424129623,NA,0,1,1,-2.038,0.318,0.599,0.157,-0.22,-0.34,-3,4,283,0,NA,663
Zimbabwe,2000,1,Civilians,2,NA,6.3373289491192,16.286544424129623,NA,0,1,1,-2.038,0.318,0.599,0.157,-0.22,-0.34,-3,4,283,1,NA,283
Zimbabwe,2000,1,Civilians,2,NA,6.3373289491192,16.286544424129623,NA,0,1,1,-2.038,0.318,0.599,0.157,-0.22,-0.34,-3,4,283,1,NA,283
Zimbabwe,2000,0,Civilians,2,NA,6.3373289491192,16.286544424129623,NA,0,1,1,-2.038,0.318,0.599,0.157,-0.22,-0.34,-3,4,283,1,NA,283
Zimbabwe,2000,1,Civilians,2,NA,6.3373289491192,16.286544424129623,NA,0,1,1,-2.038,0.318,0.599,0.157,-0.22,-0.34,-3,4,283,0,NA,283
Zimbabwe,2000,1,Civilians,2,NA,6.3373289491192,16.286544424129623,NA,0,1,1,-2.038,0.318,0.599,0.157,-0.22,-0.34,-3,4,283,1,NA,283
Albania,1997,1,Civilians,2,NA,6.575605752815234,14.962367147559867,NA,0,0,1,-0.688,-0.571,0.41,0.203,-0.635,0.221,5,4,NA,1,NA,NA
Albania,1997,1,Civilians,2,NA,6.575605752815234,14.962367147559867,NA,0,0,1,-0.688,-0.571,0.41,0.203,-0.635,0.221,5,4,NA,1,NA,NA
Haiti,1995,1,Civilians,2,1,5.91038215643227,15.847246572043709,NA,0,0,1,-0.273,-1.994,0.537,0.215,-1.173,1.099,6,6,NA,1,NA,NA
Haiti,1995,1,Civilians,2,1,5.91038215643227,15.847246572043709,NA,0,0,1,-0.273,-1.994,0.537,0.215,-1.173,1.099,6,6,NA,1,1,NA
Haiti,1995,1,Civilians,2,1,5.91038215643227,15.847246572043709,NA,0,NA,1,-0.273,-1.994,0.537,0.215,-1.173,1.099,6,6,NA,1,1,NA
Haiti,2000,1,Civilians,2,NA,6.703187259530578,15.93899589857431,NA,0,1,1,-0.53,-2.449,0.537,0.326,-1.173,1.099,-2,5,NA,1,1,NA
Haiti,2000,1,Civilians,2,NA,6.703187259530578,15.93899589857431,NA,0,1,1,-0.53,-2.449,0.537,0.326,-1.173,1.099,-2,5,NA,1,NA,NA
Haiti,2000,1,Civilians,2,NA,6.703187259530578,15.93899589857431,NA,0,1,1,-0.53,-2.449,0.537,0.326,-1.173,1.099,-2,5,NA,1,NA,NA
Haiti,2010,1,Civilians,2,NA,7.094120569192796,16.102258909131972,NA,1,1,1,-0.938,-1.756,0.508,0.32,-1.114,1.301,NA,6,NA,1,NA,NA
Haiti,2010,1,Civilians,2,NA,7.094120569192796,16.102258909131972,NA,1,1,1,-0.938,-1.756,0.508,0.32,-1.114,1.301,NA,6,NA,1,NA,NA
Albania,1997,1,Civilians,2,NA,6.575605752815234,14.962367147559867,NA,0,0,1,-0.688,-0.571,0.41,0.203,-0.635,0.221,5,4,NA,1,NA,NA
Albania,1997,1,Civilians,2,NA,6.575605752815234,14.962367147559867,NA,0,0,1,-0.688,-0.571,0.41,0.203,-0.635,0.221,5,4,NA,1,NA,NA
Albania,2001,1,Civilians,2,NA,7.155911255637988,14.93398200827818,NA,0,1,1,0.012,-0.694,0.588,0.3,-0.949,1.571,5,6,NA,1,NA,NA
Albania,2001,1,Civilians,2,NA,7.155911255637988,14.93398200827818,NA,0,1,1,0.012,-0.694,0.588,0.3,-0.949,1.571,5,6,NA,1,NA,NA
Haiti,1997,1,Civilians,2,NA,6.044626895937244,15.88429198195185,NA,0,1,1,-0.751,-1.599,0.537,0.416,-1.173,1.099,7,5,NA,1,NA,NA
Egypt,2010,1,Civilians,2,NA,7.827947204963407,18.284315774824844,NA,1,1,0,-1.861,-1.94,0.245,0.061,-0.691,-1.788,-3,3,50,1,NA,50
